seed,num_customer_requests,num_robots,num_operators,utilization_time_period,num_delivered,delivery_rate,utilization_rate,num_risks
2520,25,2,3,"['0900-1200', '1000-1100']",14,0.56,[0.89947234 0.48430493],20
4370,25,3,1,"['0900-1200', '0900-1030', '1030-1200']",20,0.8,[0.91056668 0.93068565 0.43110491],15
4668,25,2,2,"['0900-1030', '1030-1200']",10,0.4,[0.9006285  0.47853326],13
231,25,3,2,[],25,1.0,[0.95130174 0.94226784 0.87313698],28
908,20,4,3,[],20,1.0,[0.9313622  0.93817767 0.94121637 0.93253762],21
489,20,2,1,"['0900-1030', '1030-1200']",10,0.5,[0.94930786 0.45555142],11
1125,25,2,2,[],21,0.84,[0.96159149 0.963677  ],12
5503,25,4,1,"['0900-1030', '0930-1100', '1000-1130', '1030-1200']",21,0.84,[0.96294129 0.66704887 0.54901731 0.49101239],13
9322,25,3,2,"['0900-1030', '0930-1100', '1030-1200']",15,0.6,[0.97150997 0.6909691  0.43039843],12
803,25,2,1,"['0900-1200', '1000-1100']",13,0.52,[0.95198644 0.46487151],9
6254,20,4,3,[],20,1.0,[0.97358261 0.90455213 0.93818943 0.94655704],18
6140,20,2,3,"['0900-1030', '1030-1200']",11,0.55,[0.96314496 0.48713302],7
4960,25,2,1,[],20,0.8,[0.89647261 0.88235854],23
9210,20,3,3,"['0900-1200', '0900-1030', '1030-1200']",20,1.0,[0.93815414 0.94486853 0.47103391],19
231,30,2,1,"['0900-1030', '1030-1200']",10,0.3333333333333333,[0.92528736 0.45998376],15
4216,25,3,3,"['0900-1030', '0930-1100', '1030-1200']",15,0.6,[0.92678806 0.68116391 0.4410754 ],12
1125,25,3,2,[],25,1.0,[0.96225319 0.97354497 0.94244392],16
2001,25,4,2,[],25,1.0,[0.97398002 0.94298246 0.89672497 0.97389558],17
1569,20,4,2,[],20,1.0,[0.92972509 0.95226388 0.93359215 0.95134262],17
1125,25,2,3,"['0900-1030', '1030-1200']",11,0.44,[0.97309603 0.4861307 ],3
8402,30,4,3,"['0900-1200', '0900-1030', '1030-1200', '1000-1100']",24,0.8,[0.96074879 0.94679763 0.49421564 0.48487778],13
1791,30,2,1,"['0900-1030', '1030-1200']",10,0.3333333333333333,[0.98741773 0.45869651],2
8721,25,4,1,"['0900-1200', '0900-1030', '1030-1200', '1000-1100']",24,0.96,[0.90472632 0.90968832 0.44686013 0.48160086],22
5655,25,3,1,"['0900-1200', '0900-1030', '1030-1200']",20,0.8,[0.88138931 0.91986888 0.44212816],24
887,30,4,3,[],30,1.0,[0.98722986 0.97219846 0.95048562 0.95554036],16
1719,20,4,3,"['0900-1200', '0900-1030', '1030-1200', '1000-1100']",20,1.0,[0.97203499 0.95971907 0.44656302 0.43604475],12
3636,30,3,1,"['0900-1200', '0900-1030', '1030-1200']",20,0.6666666666666666,[0.92525958 0.91219217 0.44567071],15
463,30,2,1,"['0900-1030', '1030-1200']",10,0.3333333333333333,[0.94761233 0.47296534],7
908,20,2,2,"['0900-1030', '1030-1200']",10,0.5,[0.91942624 0.46548305],11
4342,20,3,3,[],20,1.0,[0.96054229 0.9245502  0.95433561],16
7875,25,2,3,"['0900-1030', '1030-1200']",10,0.4,[0.97282041 0.45213811],9
285,25,3,2,"['0900-1030', '0930-1100', '1030-1200']",15,0.6,[0.98573623 0.70354353 0.45995661],11
7413,25,3,3,"['0900-1200', '0900-1030', '1030-1200']",21,0.84,[0.96364992 0.94757007 0.45377321],12
7998,30,4,1,"['0900-1200', '0900-1030', '1030-1200', '1000-1100']",24,0.8,[0.92422434 0.96414729 0.45280315 0.48222252],19
2319,25,2,1,"['0900-1030', '1030-1200']",11,0.44,[1.         0.44587501],3
231,20,4,2,[],20,1.0,[0.93430785 0.8852459  0.94916911 0.90247393],23
4342,20,4,3,"['0900-1030', '0930-1100', '1000-1130', '1030-1200']",19,0.95,[0.93870238 0.69565217 0.54392501 0.43006471],16
6363,30,3,2,"['0900-1200', '0900-1030', '1030-1200']",20,0.6666666666666666,[0.9369177  0.93999261 0.4561369 ],17
8721,25,2,3,[],20,0.8,[0.93555075 0.93043168],23
4877,30,3,1,"['0900-1200', '0900-1030', '1030-1200']",20,0.6666666666666666,[0.91812178 0.89554502 0.46349061],19
1513,30,3,3,"['0900-1030', '0930-1100', '1030-1200']",15,0.5,[0.96271511 0.70424495 0.4569214 ],9
3215,20,2,1,[],20,1.0,[0.93721347 0.92832217],14
887,20,3,1,[],20,1.0,[0.94997548 0.94137353 0.97627633],10
1125,20,4,2,"['0900-1030', '0930-1100', '1000-1130', '1030-1200']",19,0.95,[0.98534055 0.69127205 0.54328395 0.45608303],10
8632,30,4,1,"['0900-1030', '0930-1100', '1000-1130', '1030-1200']",20,0.6666666666666666,[0.94625922 0.69636513 0.53747402 0.48117914],13
1189,20,3,1,"['0900-1200', '0900-1030', '1030-1200']",20,1.0,[0.9055814  0.93062746 0.45752741],19
285,30,2,3,"['0900-1030', '1030-1200']",11,0.36666666666666664,[0.9507669 0.486489 ],6
